Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Antigua and Barbuda;ATG;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,4;;;;;21,1;;;;;18,2;;;;;15,7;;;14;14;13,6;;;
Austria;AUT;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,3;;;;;43,8;;;;;37,1;;;;;31,2;;;27,1;27,1;26,4;;;
Azerbaijan;AZE;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,7;;;;;27,6;;;;;26,2;;;;;25,2;;;24,2;24,2;24;;;
Burundi;BDI;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;19,8;;;;;16,6;;;;;13,9;;;12,2;12,2;11,8;;;
Belgium;BEL;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,4;;;;;30,5;;;;;28;;;;;25,7;;;23,9;23,9;23,4;;;
Benin;BEN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,7;;;;;13,4;;;;;10,7;;;;;8,6;;;7,2;7,2;6,9;;;
Burkina Faso;BFA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,8;;;;;24,7;;;;;20,5;;;;;17;;;14,9;14,9;14,3;;;
Bangladesh;BGD;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,6;;;;;50,3;;;;;44;;;;;38,9;;;35,2;35,2;34,7;;;
Bulgaria;BGR;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,5;;;;;45;;;;;42,9;;;;;40,7;;;39,4;39,4;39;;;
Bahrain;BHR;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,2;;;;;20;;;;;18,1;;;;;16,4;;;15,2;15,2;14,9;;;
Bahamas, The;BHS;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,7;;;;;10,7;;;;;10,7;;;;;10,6;;;10,7;10,7;10,6;;;
Bosnia and Herzegovina;BIH;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,6;;;;;43,4;;;;;40,3;;;;;37,7;;;35,5;35,5;35;;;
Belarus;BLR;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,8;;;;;38,8;;;;;35,8;;;;;33;;;30,9;30,9;30,5;;;
Belize;BLZ;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;13;;;;;11,3;;;;;9,7;;;8,8;8,8;8,5;;;
Bermuda;BMU;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;BOL;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,1;;;;;24,9;;;;;19,5;;;;;15,6;;;13,2;13,2;12,7;;;
Brazil;BRA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,8;;;;;20,4;;;;;17,4;;;;;14,9;;;13,2;13,2;12,8;;;
Barbados;BRB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,2;;;;;9,7;;;;;9,2;;;;;8,8;;;8,5;8,5;8,5;;;
Brunei Darussalam;BRN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,7;;;;;16,5;;;;;16,4;;;;;16,3;;;16,2;16,2;16,2;;;
Bhutan;BTN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;BWA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,2;;;;;28,5;;;;;24,8;;;;;21,7;;;19,8;19,8;19,4;;;
Central African Republic;CAF;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;CAN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,4;;;;;23,3;;;;;19,3;;;;;15,8;;;13,6;13,6;13;;;
Central Europe and the Baltics;CEB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,90372011;;;;;35,28587994;;;;;32,82525007;;;;;30,613372;;;29,08041789;29,07309318;28,62597313;;;
Switzerland;CHE;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,3;;;;;27,7;;;;;26,9;;;;;26,2;;;25,7;25,7;25,5;;;
Channel Islands;CHI;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,9;;;;;41,7;;;;;37,1;;;;;32,9;;;29,9;29,9;29,2;;;
China;CHN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,7;;;;;26,6;;;;;26,2;;;;;25,9;;;25,7;25,7;25,6;;;
Cote d'Ivoire;CIV;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,7;;;;;15,8;;;;;13,2;;;;;11,1;;;9,7;9,7;9,4;;;
Cameroon;CMR;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,8;;;;;11,2;;;;;9,7;;;;;8,4;;;7,5;7,5;7,3;;;
Congo, Dem. Rep.;COD;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,8;;;;;16,9;;;;;15,4;;;;;14;;;13;13;12,8;;;
Congo, Rep.;COG;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,9;;;;;12,2;;;;;12,8;;;;;13,5;;;14,3;14,3;14,5;;;
Colombia;COL;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,1;;;;;13,2;;;;;11,4;;;;;9,9;;;8,8;8,8;8,5;;;
Comoros;COM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39,5;;;;;32,8;;;;;27,7;;;;;23,5;;;20,8;20,8;20,3;;;
Cabo Verde;CPV;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,6;;;;;17,8;;;;;15,2;;;;;13,1;;;11,7;11,7;11,4;;;
Costa Rica;CRI;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;15;;;;;12,6;;;;;10,5;;;9,1;9,1;8,8;;;
Caribbean small states;CSS;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;CUB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40,8;;;;;33,2;;;;;27;;;;;22;;;18,7;18,7;17,9;;;
Curacao;CUW;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cayman Islands;CYM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;CYP;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40,9;;;;;39,2;;;;;37,7;;;;;36,4;;;35,5;35,5;35,1;;;
Czechia;CZE;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,2;;;;;33,4;;;;;32,3;;;;;31,4;;;30,9;30,9;30,7;;;
Germany;DEU;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,4;;;;;32,1;;;;;28,3;;;;;24,9;;;22,5;22,5;22;;;
Djibouti;DJI;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;DMA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;DNK;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,3;;;;;30,8;;;;;25,5;;;;;21,1;;;18,1;18,1;17,5;;;
Dominican Republic;DOM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,7;;;;;16,1;;;;;13,9;;;;;12,2;;;10,9;10,9;10,6;;;
Algeria;DZA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,2;;;;;21,8;;;;;21,5;;;;;21,1;;;21;21;21;;;
East Asia & Pacific (excluding high income);EAP;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,50309449;;;;;28,9236915;;;;;28,20923077;;;;;27,6099339;;;27,19929213;27,20724912;27,10388281;;;
Early-demographic dividend;EAR;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,60279202;;;;;36,86795303;;;;;32,11800433;;;;;28,27946711;;;25,65543722;25,63688585;25,07494326;;;
East Asia & Pacific;EAS;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,8328587;;;;;28,88253356;;;;;27,87443685;;;;;27,03403508;;;26,45257629;26,46092631;26,32632926;;;
Europe & Central Asia (excluding high income);ECA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,06673422;;;;;31,80624699;;;;;29,79770661;;;;;28,05729254;;;26,88891649;26,87884709;26,54842437;;;
Europe & Central Asia;ECS;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,00762152;;;;;32,15626345;;;;;29,70969273;;;;;27,54370271;;;26,03031669;26,02666312;25,63560947;;;
Ecuador;ECU;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,4;;;;;16,2;;;;;14,5;;;;;12,8;;;11,6;11,6;11,3;;;
Egypt, Arab Rep.;EGY;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,3;;;;;24,1;;;;;24,3;;;;;24,3;;;24,4;24,4;24,3;;;
Euro area;EMU;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,65838851;;;;;32,19988517;;;;;29,99375242;;;;;28,0212529;;;26,6372615;26,6450473;26,29239023;;;
Eritrea;ERI;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,3;;;;;11,5;;;;;10;;;;;8,7;;;7,7;7,7;7,5;;;
Spain;ESP;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,8;;;;;34,3;;;;;31,9;;;;;29,7;;;28,1;28,1;27,7;;;
Estonia;EST;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;41,6;;;;;37,2;;;;;33,3;;;30,5;30,5;29,7;;;
Ethiopia;ETH;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,8;;;;;6,3;;;;;5,9;;;;;5,5;;;5,2;5,2;5,1;;;
European Union;EUU;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,62289173;;;;;32,930838;;;;;30,50313584;;;;;28,33977939;;;26,82543889;26,82859376;26,4307422;;;
Fragile and conflict affected situations;FCS;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,31948468;;;;;21,21331509;;;;;18,48376063;;;;;16,16954244;;;14,59147658;14,49823648;14,09660533;;;
Finland;FIN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,7;;;;;31,4;;;;;27,8;;;;;24,5;;;22,2;22,2;21,6;;;
Fiji;FJI;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,3;;;;;29,7;;;;;27,4;;;;;25,1;;;23,4;23,4;23,1;;;
France;FRA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,2;;;;;34,1;;;;;33,8;;;;;33,7;;;33,6;33,6;33,4;;;
Faroe Islands;FRO;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gabon;GAB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Kingdom;GBR;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,9;;;;;30,1;;;;;24,1;;;;;19,3;;;16,1;16,1;15,4;;;
Georgia;GEO;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,8;;;;;32,6;;;;;32,2;;;;;32;;;31,7;31,7;31,7;;;
Ghana;GHA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;5,9;;;;;4,9;;;;;4,2;;;3,6;3,6;3,5;;;
Gibraltar;GIB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gambia, The;GMB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,5;;;;;18,8;;;;;15,8;;;;;13,3;;;11,6;11,6;11,1;;;
Guinea-Bissau;GNB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;15;;;;;12,7;;;;;10,7;;;9,3;9,3;9;;;
Equatorial Guinea;GNQ;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;GRC;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,9;;;;;48,5;;;;;42,9;;;;;37,9;;;34,5;34,5;33,5;;;
Grenada;GRD;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greenland;GRL;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;GTM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,3;;;;;13,4;;;;;12,5;;;;;11,6;;;11;11;10,9;;;
Guam;GUM;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guyana;GUY;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,2;;;;;24,1;;;;;19,1;;;;;15,1;;;12,6;12,6;12,1;;;
High income;HIC;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,05585864;;;;;30,7257553;;;;;27,8708999;;;;;25,24006144;;;23,44677639;23,43958646;23,01619386;;;
Hong Kong SAR, China;HKG;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;HND;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heavily indebted poor countries (HIPC);HPC;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,03633897;;;;;16,83858418;;;;;14,27531467;;;;;12,24804652;;;10,89071781;10,89126184;10,58112682;;;
Croatia;HRV;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,4;;;;;34,9;;;;;35,4;;;;;36,1;;;36,7;36,7;36,9;;;
Haiti;HTI;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,3;;;;;10,9;;;;;9,7;;;;;8,6;;;7,9;7,9;7,7;;;
Hungary;HUN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,4;;;;;35,9;;;;;34,6;;;;;33,2;;;32,2;32,2;31,8;;;
IBRD only;IBD;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,89409381;;;;;31,79555724;;;;;29,10278253;;;;;26,84878336;;;25,22702473;25,22114281;24,84165621;;;
IDA & IBRD total;IBT;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,25263009;;;;;30,86998121;;;;;27,90374504;;;;;25,38762103;;;23,59465999;23,5562742;23,13279232;;;
IDA total;IDA;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,27161519;;;;;26,7398225;;;;;22,86021715;;;;;19,60935124;;;17,39811736;17,323649;16,83012695;;;
IDA blend;IDB;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,23696392;;;;;20,82817279;;;;;18,07633323;;;;;15,48115433;;;13,61490498;13,58683189;13,17209971;;;
Indonesia;IDN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,4;;;;;35,8;;;;;36,3;;;;;36,7;;;37,2;37,2;37,6;;;
IDA only;IDX;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,2079771;;;;;30,10821278;;;;;25,63885049;;;;;21,96794534;;;19,53219324;19,42731369;18,88601111;;;
Isle of Man;IMN;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;IND;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,5;;;;;45,5;;;;;38,1;;;;;32,2;;;28,1;28,1;27,2;;;
Not classified;INX;Prevalence of current tobacco use (% of adults);SH.PRV.SMOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
